episode,reward
0,-0.06
1000,-0.1
2000,0.24
3000,0.24
4000,0.04
5000,-0.1
6000,-0.04
7000,0.02
8000,0.14
9000,-0.08
10000,0.08
11000,0.12
12000,0.18
13000,0.0
14000,0.04
15000,-0.14
16000,0.08
17000,-0.04
18000,0.0
19000,0.2
20000,0.1
21000,0.02
22000,0.24
23000,0.06
24000,0.14
25000,0.14
26000,0.16
27000,0.18
28000,-0.02
29000,0.02
30000,0.36
31000,0.1
32000,0.02
33000,-0.12
34000,0.04
35000,0.22
36000,0.02
37000,0.18
38000,0.36
39000,0.1
40000,0.02
41000,0.18
42000,0.16
43000,0.16
44000,0.1
45000,0.24
46000,0.06
47000,0.1
48000,-0.08
49000,0.14
